ID,Question,Traduction,Score,Alexandre *,Diego *,Notes,Category,Mood,Mood feedback Alexandre,Difficulty,Tags,Alexandre's View,Notes
17,En quoi es-tu différent.e d'une personne de ta class de reférence ?,How are you different to someone from your reference class ?,6,3,3,formulation nerd,Perso - Easy,Uplifting,Uplifting,2 - medium,,,"Testé avec “différent des gens du groupe”, et ça a très bien marché. Quelques réponses bateau, mais plusieurs réponses qui on permis de redecouvrir une personne.

Phrase alternative: “Qu’est-ce qui te rend maximalement different des personnes dans cette pièce ?”

(Conditioned on : random human, random people in your country, random people in your social/ ideological circle)"
18,Qu'est ce que tes parents auraient pu mieux faire pour toi ?,What could your parents have done better for you?,6,3,3,,Perso - Easy,Vulnerable,Vulnerable,2 - medium,,,
19,Qu'est ce que ton toi de 10 ans à donné à ton toi de 20 ans ?,What did the 10-year-old-you gave to the 20-year-old-you?,6,3,3,,Perso - Easy,Future,Future,2 - medium,,"A changer en fonction de l’âge de la personne?

Ca change pas mal si 20 ans = age du lecteur",
20,Qu'est-ce que tu as envie de faire depuis longtemps mais ne fais pas ? Pourquoi ?,What have you wanted to do for a long time but don't? Why?,6,3,3,,Perso - Easy,Vulnerable,Vulnerable,2 - medium,,"doublon with

[Is there something you think and would like to act upon?](https://www.notion.so/Is-there-something-you-think-and-would-like-to-act-upon-19c253a6657b4d498cebb8312ad8cc80)",
21,Quel changement majeur anticipes-tu pour l'année prochaine ?,What major change do you anticipate for next year?,6,3,3,,About the world,Future,Future,2 - medium,,,
22,Quel événement de ton enfance à eu le plus d'impact sur ce que tu fais aujourd'hui ?,What event from your childhood had the most impact on what you do today?,6,3,3,,Perso - Easy,Future,Future,2 - medium,,,
23,Quelle est quelque chose dont tu es fier ?,What is something you are proud of?,6,3,3,,Perso - Hard,Uplifting,Uplifting,2 - medium,,,
24,Quelle est un des plus importante réalisations de l'humanité?,What's one of humanity's most significant achievement so far?,6,3,3,,Regard sur le monde,Debate,Debate,2 - medium,,,
25,Quelle musique te fait pleurer ?,What music makes you cry?,6,3,3,,Perso - Easy,Vulnerable,Vulnerable,2 - medium,,"mood assez tristre

quelle musique t’as récemment fait pleuré d’motion ?",
26,Quelles activitées de laissent avec le plus d'énergie ?,Which activities makes you the most energised?,6,3,3,,Perso - Easy,Uplifting,Uplifting,2 - medium,,,
27,Quelles sont pour toi les qualités les plus importantes chez un.e amie ?,What are the most important qualities in a friend?,6,3,3,,Regard sur le monde,Uplifting,Uplifting,2 - medium,,,
28,Quelles sont pour toi les qualités les plus importantes chez un.e partenaire romantique ?,What are the most important qualities in a romantic partner?,6,3,3,,Regard sur le monde,Vulnerable,Vulnerable,2 - medium,,,
29,Souhaites-tu avoir des enfants ?,Do you wish to have children?,6,3,3,,Perso - Easy,Future,Future,2 - medium,,,
30,Sur quoi as-tu envie de t'ameliorer dans les prochains temps ?,What do you want to improve on in the near future?,6,3,3,,Perso - Easy,Future,Future,2 - medium,,,
31,A quoi ressemble le monde de 2050 avec zero emissions net de carbone ?,What does the world of 2050 look like with net-zero carbon emissions?,6,3,3,,Regard sur le monde,Future,Future,3 - involved,Specific topic,,
33,Es-tu plutôt optimiste ou pessimiste face au futur ?,Are you more optimistic or pessimistic about the future?,6,3,3,,Perso - Easy,Future,Future,3 - involved,,,
34,Irais-tu dans la machine à bonheur ?,Would you go in the happiness machine?,6,3,3,,Perso - Hard,Debate,Debate,3 - involved,,,
35,La violence est-elle justifiée pour défendre une cause plus importante ?,Is violence justified to push a greater cause?,6,3,3,,About the world,Debate,Debate,3 - involved,,,
36,Les animaux on-t-ils le droit à l'egalité de traitement ?,Do animals have the right to equal treatment?,6,3,3,,About the world,Debate,Debate,3 - involved,Specific topic,,
38,Qu'est ce qui manque au système d'éducation actuel ?,What is missing from the current education system?,6,3,3,,Regard sur le monde,Debate,Debate,3 - involved,,,
39,Qu'est ce qui te fait peur ?,What are you afraid of?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,3 - involved,,,
40,Qu’est ce qui te retient (a retenu) d’être vegan?,What holds (held) you back from being vegan?,6,3,3,,Perso - Hard,Debate,Debate,3 - involved,,,
41,Que cherches tu dans une discussion ?,What are you looking for in a discussion?,6,3,3,,Perso - Easy,Debate,Debate,3 - involved,,"ca me fait penser à une question de Lê au début de la série sur la démocratie qui demandait

Why do we debate?",
42,Que cherches tu dans une relation amoureuse?,What are you looking for in a romantic relationship?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,3 - involved,,,
43,Quel est quelque chose que tu regrète d'avoir fait ?,What is an action that you regret?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,3 - involved,,,
44,Quel succès est important pour toi mais beaucoup moins considéré par les autres ?,"Which achievment do you value a lot, but isn’t much considered by others?",6,3,3,,Perso - Hard,Uplifting,Uplifting,3 - involved,,,
45,Quelle est ta partie de lumière ?,What's your part of light?,6,3,3,,Perso - Easy,Vulnerable,Vulnerable,3 - involved,,,
142,Quelle est ta part d'obscurité ?,What's your part of darkness?,6,3,3,,Perso - Easy,Vulnerable,Vulnerable,3 - involved,,,
46,Quels sont les arguments contre l'utilitarisme ?,What are the arguments against utilitarianism?,6,3,3,discuter des question a concepts,About the world,Debate,Debate,3 - involved,Specific topic,,
47,"Si tu mourrais aujourd'hui, quel serait ton plus grand regret ?","If you died today, what would be your biggest regret?",6,3,3,,Perso - Hard,Vulnerable,Vulnerable,3 - involved,,,
48,Quelle questions aimes-tu poser pour mieux comprendre une autre personne ?,What questions do you like to ask to better understand another person?,6,3,3,,Perso - Hard,Debate,Debate,4 - complex,,,
49,Penses-tu que l'identité existe ou qu'elle n'est qu'un sentiment qui naît pour rendre cohérente notre histoire personnelle ?,"Do you think that identity exists, or is it just a feeling arising to make our personal history coherent?",6,3,3,,Perso - Hard,Debate,Debate,4 - complex,,,
50,Qu'est ce que le genre?,What is gender?,6,3,3,,About the world,Debate,Debate,4 - complex,,,
51,Que feraient les humains s'ils n'avaient plus besoin de travailler ?,What would humans do if they no longer needed to work?,6,3,3,,About the world,Debate,Debate,4 - complex,,,
52,Que ressens-tu en ce moment ?,What's your feeling right now?,6,3,3,"Ça serait chouette + de question sur le moment, style anti-cava",Perso - Hard,Vulnerable,Vulnerable,4 - complex,,,
53,Tu découvres un gène corrélé à 90% avec les homicides. Que fais tu ? ,You discover a gene that's 90% correlated with homicide. What do you do?,6,3,3,,Regard sur le monde,Debate,Debate,4 - complex,,,
54,Es-tu déjà tombé amoureux ?,Have you ever fallen in love?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
55,Pourquoi est tu monogame ?,Why are you monogamous?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,"Testé dans un groupe de 7, excellenet moyen du parler de sexualité. Tout le monde à bien joué le jeu"
56,Pourrais-tu avoir une relation polyamoureuse ?,Could you have a polyamorous relationship?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
57,Qu'est-ce qui te rend triste à propos de tes interactions avec d'autres humains ?,What makes you sad about your interaction with other humans? ,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
58,Quel est l'un de tes moments de bonheur les plus profonds ?,What is one of your deepest moments of happiness?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
60,Quelle est la dernière fois que tu as pleuré ? (et que tu es okay de partager),When was the last time you cried? (and that you are okay to share),6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
61,Quelle est une erreur dans tes relations amoureuses dont tu as appris et que tu veux partager ?,What is one mistake in your relationships that you have learned from and want to share?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
62,Sur quoi est-tu inquièt.e du jugement des autres ? ,What are you afraid others might judge you about? ,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
63,Te demandes-tu comment l'un de tes traits physiques est perçu ?,Are you wondering how one of your physical traits is perceived?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
64,Est-ce que tu te considère comme quelqu'un qui change beaucoup ?,Are you someone that changes a lot?,6,3,3,,Perso - Easy,Vulnerable,Vulnerable,2 - medium,,,
59,Quel est l'un de tes moments de tristesse les plus profonds ?,What is one of your deepest moments of sadness?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
65,Dans quel endroit aurait-tu aimé rester plus longtemps ? ,Where do you wish you stayed longer?,5,3,2,,Perso - Easy,Future,Future,1 - simple,,,
66,Pourquoi n'a-t-on pas rencontré de vie extra-terrestre ?,Why have we not encountered extraterrestrial life yet?,5,3,2,,About the world,Debate,Debate,1 - simple,,,
67,Qu'est ce qui t'apporte de la joie dans un jour typique ?,What brings you joy in a typical day?,5,3,2,,Perso - Easy,Uplifting,Uplifting,1 - simple,,"Haut cout d’entrée : potentiel “j’ai pas de joy dans un jour”

Je pense que ca passe après un warm up",
69,Que penses-tu des champignons ?,What do you think about mushrooms?,5,3,2,,Regard sur le monde,Debate,Debate,1 - simple,,,
70,Quand est-tu passé le plus près de la mort ?,When did you come closest to death?,5,3,2,,Perso - Hard,Vulnerable,Vulnerable,1 - simple,,"Not simple for me, can be ultra perso",
71,Quel changement majeur as tu vécu dans les 12 derniers mois ?,What major change have you experienced in the last 12 months?,5,3,2,,Perso - Easy,Future,Future,1 - simple,,,
72,Quel endroit te rend nostalgique ?,What place makes you nostalgic?,5,3,2,,Perso - Easy,Vulnerable,Vulnerable,1 - simple,,,
73,Quel est un de tes souvenir d'enfance les plus chers ?,What is one childhood memories you hold dear?,5,3,2,,Perso - Easy,Uplifting,Uplifting,1 - simple,,,
74,Quel est un endroit qui te plait dans ta ville natale ?,What’s a place you like in your hometown?,5,3,2,,Regard sur le monde,Uplifting,Uplifting,1 - simple,,"Marche plutôt bien  (n=2)

Tester avec la variation “Quel endroit tu était triste de quitter”

Essayer de faire avec une prompt qui favorise la spécificité (cet endroit de ce parc plutot que “l”ambiance d’un quartier”)",
75,Quelques sont les questions maxinalement intéressantes ?,What are maximaly interesting questions?,5,2,3,,Regard sur le monde,Debate,Debate,1 - simple,,,
76,"Quels type d'aventures préfères-tu ? Les personnes, les endroits, les cultures, le savoir ?","What kind of adventures do you prefer? People, places, cultures, knowledge or something else?",5,3,2,,Perso - Easy,Uplifting,Uplifting,1 - simple,,,
77,D’où vient la beauté ?,Where does beauty comes from?,5,3,2,,Regard sur le monde,Debate,Debate,2 - medium,,"not too bad mais pas pour tout le monde

potentiellemnt découragé par l’immensité de la question",
78,Qu'est ce que ton toi de 10 ans dirait de ta vie actuellement ?,What would the 10-year-old-you say about your life now?,5,3,2,,Perso - Easy,Future,Future,2 - medium,,,
79,Qu'est-ce qui te rend triste au cours d'une journée normale ?,What brings you sadness on a typical day?,5,3,2,,Perso - Easy,Vulnerable,Vulnerable,2 - medium,,,
80,Quel est quelque chose de scientifique qui t'emerveille ?,What is something scientific that amazes you?,5,2,3,,Regard sur le monde,Uplifting,Uplifting,2 - medium,,potentiel doublon avec “What brings you a sense of wonder in the natural world?”,
82,Quelle est ta relation avec tes parents ? ,What is your relationship with your parents?,5,2,3,,Perso - Easy,Vulnerable,Vulnerable,2 - medium,,,
83,Quelle est une des actions les plus risquées que tu aies réalisé ?,What is one of the riskiest actions you have taken?,5,3,2,,Perso - Easy,Vulnerable,Vulnerable,2 - medium,Potential clueless,la plus a changer,
84,"Si tu devais ne pas être un humain, que serais-tu ?","If you were not to be a human, what would you be?",5,3,2,,Perso - Easy,Future,Future,2 - medium,,,
85,Comment ta vie changerait si tu avais un revenu universel de base de 1000CHF par mois ?,How would your life change if you had a universal basic income of 1000$ per month?,5,3,2,,Perso - Easy,Future,Future,3 - involved,,,
86,Devrait-on interdire la majorité des publicités ?,Should we ban the majority of advertisements?,5,2,3,,Regard sur le monde,Debate,Debate,3 - involved,,"Testé avec MAthilde et Claire

J’ai trouvé que ca m’a fait avir des pensée cool, j’avais jamais bcp réfléchit à ca. Mais difficile de contruire un momentum dans la discussion, je devais souvent revenir à la charge avec une nouvelle formulation.

Un peu “seche” je dirait, pas beaucoup de prise",
87,Entrererais-tu dans un téléporteur?,Would you go into a teleporter?,5,2,3,,Regard sur le monde,Debate,Debate,3 - involved,,,
88,La sobriété est-elle la solution à nos problèmes environnementaux ? ,Is sobriety the solution to our environmental problems?,5,2,3,,Regard sur le monde,Debate,Debate,3 - involved,Specific topic,,
89,Qu'est ce que tu penses est ta plus grande réussite ?,What do you think is your best achievement?,5,3,2,,Perso - Easy,Vulnerable,Vulnerable,3 - involved,,Doublon partiel de @What do other people think is your best achievement? ,
90,"Si quelqu'un souffre loin, devrions nous nous en soucier moins ?","If someone suffers far, does it mean that we should care less?",5,3,2,,Regard sur le monde,Debate,Debate,3 - involved,,,
91,"Si tu avais un milliard d'euro, que ferais-tu ?","If you had a billion dollars, what would you do?",5,2,3,,Perso - Easy,Future,Future,3 - involved,,,
92,"Si tu devais recommencer ta vie en te laissant quelque conseils, que seraient-ils ?","If you had to start your life over with some advice, what would it be?",5,3,2,,Perso - Easy,Future,Future,3 - involved,,,
93,"Si tu étais dictateur·ice du monde, quelle est la première mesure que tu mettrais en place ?","If you were dictator of the world, what is the first measure you would put in place?",5,2,3,,Regard sur le monde,Future,Future,3 - involved,,,
95,"Si tu pouvais savoir une chose à propos du futur, qu'est ce que ce serait ?","If you could know one thing about the future, what would it be?",5,3,2,,Regard sur le monde,Future,Future,3 - involved,,,"Testé avec 7 personnes, ça n’a pas trop accroché. Les gens semblaient être trop sur les implication physique du voyage temporel, et ça s’est transformé en “je veux pas savoir” mais de façon pas très interessante."
96,Y a-t-il une façon dont tu aimerais que le monde soit meilleur ?,Is there a way in which you would like the world to be better?,5,2,3,,Regard sur le monde,Future,Future,3 - involved,,"Doublon with If you could change any part of the world with a magic wand, what would you do?",
97,A quoi ressemble un monde avec des consciences digitales ?,What does a world with digital minds look like?,5,3,2,,Regard sur le monde,Future,Future,4 - complex,Specific topic,,
98,Doit-on sortir du capitalisme ?,Should we get out of capitalism?,5,3,2,,Regard sur le monde,Debate,Debate,4 - complex,Specific topic,,
100,Quel est un risque peu probable mais grand que tu devrais peut-être prendre en compte ?,What is a tail risk that you should maybe consider?,5,2,3,,Perso - Easy,Future,Future,3 - involved,,,
101,Qu'est ce qui te fait rester eveillé la nuit ?,What keeps you up at night?,5,3,2,,Perso - Easy,Uplifting,Uplifting,1 - simple,Too broad,"Testé informellement, pas dans le contexte “je vais poser une question” mais plus comme complement de prompt pour mieux connaitre une personne

Potentiel négatif: c’est souvent des trucs qui te tracasse, pas trop envie d’en parler",
102,Quel est un cadeau qui t'a fait très plaisir ? Pourquoi ?,What is one gift that made you very happy? Why?,5,3,2,,Perso - Easy,Uplifting,Uplifting,1 - simple,,,
103,Comment pourrait-on rendre internet profitable sans vendre de données ?,How could we make the internet profitable without selling data?,5,3,2,,About the world,Debate,Debate,3 - involved,Specific topic,,
104,Quel est le plus grand problème de ton domaine d'expertise ?,What is the biggest issue in your area of expertise?,5,2,3,,Regard sur le monde,Debate,Debate,4 - complex,,,
105,Y a-t-il une chose que tu n'as jamais dite à personne ?,Is there something you never said to anybody?,5,3,2,,Perso - Hard,Vulnerable,Vulnerable,5 - spicy,,,
106,Comme ta relation avec la religion à-t-elle evolué ?,How did your relationship with religion changed with time?,5,2,3,,Regard sur le monde,Debate,Vulnerable,2 - medium,,,
107,"Si des aliens débarquaient sur Terre, que trouveraient-ils le plus bizarre ?","If aliens landed on Earth, what would they find most bizarre?",5,2,3,,Perso - Easy,Future,Future,1 - simple,,,
